Player,Points,Date,Team,Opponent
Bam Adebayo,83,"March 10, 2026",MIA,vs. WAS
Luka Dončić,60,"March 19, 2026",LAL,@ MIA
Nikola Jokić,56,"December 25, 2025",DEN,vs. MIN
Anthony Edwards,55,"January 17, 2026",MIN,@ SAS
Kawhi Leonard,55,"December 28, 2025",LAC,vs. DET
James Harden,55,"November 22, 2025",LAC,@ CHA
Nikola Jokić,55,"November 12, 2025",DEN,@ LAC
Shai Gilgeous-Alexander,55,"October 23, 2025",OKC,@ IND
Tyrese Maxey,54,"November 20, 2025",PHI,@ MIL
Jamal Murray,53,"March 25, 2026",DEN,vs. DAL
Jamal Murray,52,"December 3, 2025",DEN,@ IND
Cooper Flagg,51,"April 3, 2026",DAL,vs. ORL
Luka Dončić,51,"March 12, 2026",LAL,vs. CHI
Lauri Markkanen,51,"October 27, 2025",UTA,vs. PHX
Austin Reaves,51,"October 26, 2025",LAL,@ SAC
Jaylen Brown,50,"January 3, 2026",BOS,@ LAC
Aaron Gordon,50,"October 23, 2025",DEN,@ GSW
Luka Dončić,49,"November 10, 2025",LAL,vs. MIN
Cade Cunningham,46,"November 5, 2025",DET,vs. WAS
Donovan Mitchell,46,"November 1, 2025",CLE,vs. PHI
