Player,Country,Goals
Kylian Mbappe,France,10
Lionel Messi,Argentina,8
Erling Haaland,Norway,7
Jude Bellingham,England,7
Harry Kane,England,6
Ousmane Dembele,France,6
Mikel Oyarzabal,Spain,5
Vinicius Junior,Brazil,4
Ismaila Sarr,Senegal,4
Julian Quinones,Mexico,4
Jonathan David,Canada,3
Deniz Undav,Germany,3
Johan Manzambi,Switzerland,3
Matheus Cunha,Brazil,3
Ismael Saibari,Morocco,3
Brian Brobbey,Netherlands,3
Elijah Just,New Zealand,3
Kai Havertz,Germany,3
Cody Gakpo,Netherlands,3
Folarin Balogun,USA,3
